AssignmentID,AssignmentName,Module,Type,Points.Possible
97,L11.3_Practice_CloseReading,11,Practice,10
98,L12.1_Practice_CloseReading,12,Practice,10
99,L12.2_Practice_CloseReading,12,Practice,10
100,L12.3_Practice_CloseReading,12,Practice,10
101,L12.4_Practice_CloseReading,12,Practice,10
102,L1.1_Practice_Vocabulary,1,Practice,5
103,L1.2_Practice_Vocabulary,1,Practice,5
104,L2.1_Practice_Vocabulary,2,Practice,5
105,L2.2_Practice_Vocabulary,2,Practice,5
106,L3.1_Practice_Vocabulary,3,Practice,5
107,L3.2_Practice_Vocabulary,3,Practice,5
108,L4.1_Practice_Vocabulary,4,Practice,5
109,L4.2_Practice_Vocabulary,4,Practice,4
110,L4.3_Practice_Vocabulary,4,Practice,5
111,L5.1_Practice_Vocabulary,5,Practice,5
112,L5.2_Practice_Vocabulary,5,Practice,5
113,L5.3_Practice_Vocabulary,5,Practice,5
114,L6.1_Practice_Vocabulary,6,Practice,5
115,L6.2_Practice_Vocabulary,6,Practice,5
116,L6.3_Practice_Vocabulary,6,Practice,5
117,L6.4_Practice_Vocabulary,6,Practice,5
118,L7.1_Practice_Vocabulary,7,Practice,5
119,L8.1_Practice_Vocabulary,8,Practice,5
120,L8.2_Practice_Vocabulary,8,Practice,5
121,L8.3_Practice_Vocabulary,8,Practice,5
122,L8.4_Practice_Vocabulary,8,Practice,5
123,L9.1_Practice_Vocabulary,9,Practice,5
124,L9.2_Practice_Vocabulary,9,Practice,5
125,L10.1_Practice_Vocabulary,10,Practice,5
126,L10.2_Practice_Vocabulary,10,Practice,5
127,L11.1_Practice_Vocabulary,11,Practice,5
128,L12.1_Practice_Vocabulary,12,Practice,5
129,L12.2_Practice_Vocabulary,12,Practice,5
130,L12.3_Practice_Vocabulary,12,Practice,5
131,L12.4_Practice_Vocabulary,12,Practice,6
132,Midterm.Exam,Midterm,Exam,100
133,Final.Exam,Final,Exam,100
134,FinalExamWriting,Final,Exam,80
