StudentID,StudentSISID,L1_Quiz,L1_Writing,L1_WritingB,L2_Quiz,L2_Writing,L3_Quiz,L3_Writing,L4_Quiz,L4_Writing,L5_Quiz,L5_Writing,L6_Quiz,L6_Writing,L7_Quiz,L7_Writing,L8_Quiz,L8_Writing,L9_Quiz,L9_Writing,L10_Quiz,L10_Writing,L11_Quiz,L11_Writing,L12_Quiz,L12_JournalWriting,L12_NovelProject,L0_Orientation,L1_Practice_Grammar,L2_Practice_Grammar,L3_Practice_Grammar,L4_Practice_Grammar,L5_Practice_Grammar,L6_Practice_Grammar,L7_Practice_Grammar,L8_Practice_Grammar,L9_Practice_Grammar,L10_Practice_Grammar,L11_Practice_Grammar,L12_Practice_Grammar,L1.1_Practice_ReadingComp,L1.2_Practice_ReadingComp,L2.1_Practice_ReadingComp,L2.2_Practice_ReadingComp,L4.3_Practice_ReadingComp,L4.1_Practice_ReadingComp,L4.2_Practice_ReadingComp,L5.1_Practice_ReadingComp,L5.2_Practice_ReadingComp,L5.3_Practice_ReadingComp,L6.1_Practice_ReadingComp,L6.2_Practice_ReadingComp,L6.3_Practice_ReadingComp,L6.4_Practice_ReadingComp,L7.1_Practice_ReadingComp,L8.1_Practice_ReadingComp,L8.2_Practice_ReadingComp,L8.3_Practice_ReadingComp,L8.4_Practice_ReadingComp,L9.1_Practice_ReadingComp,L9.2_Practice_ReadingComp,L10.1_Practice_ReadingComp,L10.2_Practice_ReadingComp,L11.1_Practice_ReadingComp,L12.1_Practice_ReadingComp,L12.2_Practice_ReadingComp,L12.3_Practice_ReadingComp,L12.4_Practice_ReadingComp,L3.1_Practice_ReadingComp,L1.1_Practice_CloseReading,L1.2_Practice_CloseReading,L2.1_Practice_CloseReading,L2.2_Practice_CloseReading,L3.1_Practice_CloseReading,L3.2_Practice_CloseReading,L4.1_Practice_CloseReading,L4.2_Practice_CloseReading,L4.3_Practice_CloseReading,L5.1_Practice_CloseReading,L5.2_Practice_CloseReading,L5.3_Practice_CloseReading,L6.1_Practice_CloseReading,L6.2_Practice_CloseReading,L6.3_Practice_CloseReading,L6.4_Practice_CloseReading,L7.1_Practice_CloseReading,L8.1_Practice_CloseReading,L7.2_Practice_CloseReading,L8.2_Practice_CloseReading,L8.3_Practice_CloseReading,L8.4_Practice_CloseReading,L9.1_Practice_CloseReading,L9.2_Practice_CloseReading,L10.1_Practice_CloseReading,L10.2_Practice_CloseReading,L11.1_Practice_CloseReading,L11.2_Practice_CloseReading,L11.3_Practice_CloseReading,L12.1_Practice_CloseReading,L12.2_Practice_CloseReading,L12.3_Practice_CloseReading,L12.4_Practice_CloseReading,L1.1_Practice_Vocabulary,L1.2_Practice_Vocabulary,L2.1_Practice_Vocabulary,L2.2_Practice_Vocabulary,L3.1_Practice_Vocabulary,L3.2_Practice_Vocabulary,L4.1_Practice_Vocabulary,L4.2_Practice_Vocabulary,L4.3_Practice_Vocabulary,L5.1_Practice_Vocabulary,L5.2_Practice_Vocabulary,L5.3_Practice_Vocabulary,L6.1_Practice_Vocabulary,L6.2_Practice_Vocabulary,L6.3_Practice_Vocabulary,L6.4_Practice_Vocabulary,L7.1_Practice_Vocabulary,L8.1_Practice_Vocabulary,L8.2_Practice_Vocabulary,L8.3_Practice_Vocabulary,L8.4_Practice_Vocabulary,L9.1_Practice_Vocabulary,L9.2_Practice_Vocabulary,L10.1_Practice_Vocabulary,L10.2_Practice_Vocabulary,L11.1_Practice_Vocabulary,L12.1_Practice_Vocabulary,L12.2_Practice_Vocabulary,L12.3_Practice_Vocabulary,L12.4_Practice_Vocabulary,Midterm.Exam,Final.Exam,FinalExamWriting
14606,29453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14325,29215,20,28,28,20,27,8,25,20,33,,,,,,,,,,,,,,,,,,10,10,10,8,9,10,,,,,,,,9,8,10,10,7,6,5,10,9,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,4,5,5,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,
13589,28106,19,28,26,16,26,9,24,18,32,19,46,,,,,,,,,,,,,,,,10,9,9,10,7,10,,,,,,,,10,9,9,10,9,10,7,9,10,9,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,4,5,5,4,5,5,5,5,,,,,,,,,,,,,,,,,,,79.33333333,,
9522,19495,20,27,24,20,25,10,26,20,32,20,47,20,48,15,65,20,55,,,,,,,,,,10,10,10,10,10,10,10,10,10,,,,,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,87.33333333,,
14299,29168,20,26,26,19,25,10,26,20,32,20,46,19,46,15,60,20,57,,28,,,,,,,,10,10,10,10,10,9,10,9,10,,,,,10,9,9,10,10,10,10,10,10,7,10,10,10,10,9,10,10,10,10,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,97,,
14161,28963,20,26,27,19,27,10,26,20,33,19,50,,,,,,,,,,,,,,,,10,9.75,10,10,9,10,,,,,,,,10,10,10,10,10,9,8,10,10,9,,,,,,,,,,,,,,,,,,,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,
13269,27420,16,23,25,17,26,10,25,14,32,17,,,,,,,,,,,,,,,,,10,10,9,9,9,10,,,,,,,,8,10,10,10,10,10,9,10,10,9,,,,,,,,,,,,,,,,,,,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,
14273,29109,19,26,27,19,24,10,24,16,30,18,45,19,,,,,,,,,,,,,,,10,6.85,10,10,9,10,9,9,,,,,,10,10,9,9,10,8,10,6,9,8,9,10,7,8,9,,,,,,,,,,,,,,10,10,10,,10,10,10,10,10,,10,10,10,10,,,,10,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,,,,,,,,,,,,,,80.66666667,,
10342,20790,20,21,26,20,25,10,25,20,34,20,45,19,46,15,63,20,43,20,30,20,44,10,26,20,1,1,10,10,9.5,10,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,89,92,
14084,28812,19,25,24,19,25,,,,,,,,,,,,,,,,,,,,,,,10,8,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14518,29488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14200,29010,19,27,27,19,28,,,,,,,,,,,,,,,,,,,,,,,8.5,10,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4489,9181,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13977,28617,19,25,26,20,26,10,26,19,33,20,50,19,47,13,,20,,,,,,,,,,,10,9.8,9,10,9,10,9,10,10,,,,,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,89.66666667,,
14053,28777,20,25,23,19,22,,,,,,,,,,,,,,,,,,,,,,,9.8,9,,,,,,,,,,,10,9,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13549,27918,19,24,25,19,27,10,25,20,34,20,46,20,48,15,63,19,53,19,27,19,46,10,30,20,44,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,92,96,76
13583,28145,19,28,27,17,25,10,24,16,32,17,41,15,45,15,59,14,48,15,17,16,46,9,27,12,42,80,10,10,7,10,8,10,10,10,8,9,9,8,10,9,10,8,10,8,10,8,7,8,7,7,7,7,9,10,7,9,6,5,8,7,8,6,8,8,9,7,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,87,78,73
13988,28674,18,21,23,19,26,10,25,19,30,19,46,,,,,,,,,,,,,,,,10,9.75,9.5,10,10,10,,,,,,,,10,9,10,10,9,9,8,9,9,10,10,10,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,,,,,,,,,,,,,,,,,81,,
13334,27334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13912,28601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13532,27915,18,24,25,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13171,27255,19,27,26,19,28,10,27,17,28,18,48,18,42,13,49,16,50,17,28,20,48,10,22,20,50,88,10,8.8,8.5,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,8,9,9,9,10,10,10,10,9,10,10,9,9,8,10,8,8,10,7,10,9,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,89,86,72
10186,20564,20,25,26,20,28,9,25,20,32,20,46,20,47,15,59,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,92,,
14474,29283,18,24,26,19,25,9,26,19,,,,,,,,,,,,,,,,,,,10,10,10,10,10,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
13407,27141,20,22,25,18,25,10,28,14,30,20,49,11,50,14,,,,,,,,,,,,,10,9.55,10,10,10,10,10,10,,,,,,10,10,10,10,10,9,10,10,10,10,10,8,9,10,9,9,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,,,,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,72,,
14344,29239,17,,25,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14086,28809,19,25,27,20,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14146,28940,15,23,26,19,24,10,25,17,32,19,,,,,,,,,,,,,,,,,10,8.3,10,9,8,10,,,,,,,,10,9,8,10,9,9,8,10,9,8,,,,,,,,,,,,,,,,,,,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,
1034,2559,20,24,27,20,21,9,23,19,,,,,,,,,,,,,,,,,,,10,10,9,9,9,,,,,,,,,10,10,9,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,9,,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,4,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
3538,7117,19,23,25,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9513,19513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13708,28231,19,24,26,17,26,10,,18,32,,,,,,,,,,,,,,,,,,10,8.8,7.5,10,,,,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,9,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
4722,9488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8643,18123,19,25,26,20,25,,,,,,,,,,,,,,,,,,,,,,,9.8,10,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9377,19406,16,24,24,19,25,10,24,15,30,16,40,,,,,,,,,,,,,,,,10,7.5,6.5,7,5,10,,,,,,,,10,9,10,10,8,9,6,5,7,8,,,,,,,,,,,,,,,,,,,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,5,5,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,
13565,27965,19,21,24,19,25,9,19,19,32,19,43,19,47,14,51,19,57,18,30,18,42,9,28,20,43,92,10,9.8,9.5,9,9,10,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,87.66666667,80,75
14024,28762,20,26,26,20,27,10,25,20,34,19,50,20,47,15,63,20,,,,,,,,,,,10,10,10,10,10,10,10,10,10,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,88,,
13970,28284,19,21,23,19,25,10,25,19,31,17,48,20,45,15,56,19,52,19,25,20,,10,,,,,10,10,10,9,9,10,10,9,10,9,9,9.5,,9,9,10,10,10,10,10,8,10,10,9,10,10,10,10,9,9,10,8,10,10,7,7,10,,,,,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,69,,
11885,25515,20,28,23,20,28,10,24,20,31,,,,,,,,,,,,,,,,,,10,9.8,10,9,10,10,,,,,,,,10,10,10,10,9,9,7,10,,8,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,4,5,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,
4406,9042,20,27,28,20,26,10,24,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,10,10,10,10,,10,10,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,
13544,27937,20,28,26,18,25,10,27,20,32,20,46,20,45,15,65,18,55,20,30,19,48,10,30,19,41,91,10,10,10,9,10,10,10,10,10,9,10,10,10,7,9,9,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,98,98,73
4459,9116,20,23,22,19,25,10,24,19,30,17,37,20,43,15,64,16,60,19,25,19,39,9,28,19,,,10,7.8,7.5,9,10,10,10,10,10,10,9,9,10,10,10,10,10,9,9,9,10,10,9,9,8,10,9,10,10,9,9,10,8,10,8,10,10,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,4,5,4,5,3,5,5,5,5,6,81,,
